wavenumber;PC1
3084,106;0,007666235
3082,178;0,008120446
3080,249;0,008734478
3078,32;0,00965421
3076,391;0,010770754
3074,462;0,011665356
3072,534;0,011963952
3070,605;0,011863294
3068,676;0,012103561
3066,747;0,012995494
3064,819;0,013837725
3062,89;0,014133544
3060,961;0,014238908
3059,032;0,014612313
3057,104;0,015370937
3055,175;0,01605934
3053,246;0,016377701
3051,317;0,01659208
3049,388;0,016741499
3047,46;0,01689382
3045,531;0,017291716
3043,602;0,01779069
3041,673;0,018165807
3039,745;0,018480755
3037,816;0,018835209
3035,887;0,019054057
3033,958;0,01891214
3032,029;0,018514859
3030,101;0,018290027
3028,172;0,018544064
3026,243;0,018846345
3024,314;0,018501112
3022,386;0,017688567
3020,457;0,017181658
3018,528;0,016950818
3016,599;0,016413452
3014,671;0,015909012
3012,742;0,015991181
3010,813;0,016321344
3008,884;0,016561474
3006,955;0,016820775
3005,027;0,017184018
3003,098;0,017432375
3001,169;0,017312287
2999,24;0,017088609
2997,312;0,017089688
2995,383;0,017201541
2993,454;0,01727775
2991,525;0,017327669
2989,597;0,017337954
2987,668;0,017243465
2985,739;0,017064866
2983,81;0,016893961
2981,881;0,016682913
2979,953;0,016238952
2978,024;0,015535226
2976,095;0,014930543
2974,166;0,014840208
2972,238;0,015141983
2970,309;0,01531576
2968,38;0,015273977
2966,451;0,015281661
2964,522;0,015560397
2962,594;0,01647582
2960,665;0,017684979
2958,736;0,018205972
2956,807;0,018065043
2954,879;0,017868996
2952,95;0,017773416
2951,021;0,017730805
2949,092;0,017635077
2947,164;0,017352522
2945,235;0,016928189
2943,306;0,016782271
2941,377;0,017231169
2939,448;0,017944738
2937,52;0,01859337
2935,591;0,01918462
2933,662;0,019722356
2931,733;0,020490206
2929,805;0,021637173
2927,876;0,022638399
2925,947;0,023397841
2924,018;0,024145915
2922,089;0,024396073
2920,161;0,024177095
2918,232;0,024424304
2916,303;0,025270764
2914,374;0,025950181
2912,446;0,025823011
2910,517;0,024762139
2908,588;0,02324359
2906,659;0,021708411
2904,731;0,020110158
2902,802;0,018566105
2900,873;0,017320181
2898,944;0,016250831
2897,015;0,015287728
2895,087;0,014473138
2893,158;0,013600877
2891,229;0,012604114
2889,3;0,011796142
2887,372;0,011297727
2885,443;0,010889781
2883,514;0,01050754
2881,585;0,010165521
2879,657;0,009816833
2877,728;0,009736924
2875,799;0,010237264
2873,87;0,011090719
2871,941;0,011965911
2870,013;0,01282892
2868,084;0,01366768
2866,155;0,014604852
2864,226;0,015800982
2862,298;0,0171922
2860,369;0,018870076
2858,44;0,020649195
2856,511;0,02194745
2854,582;0,022700513
2852,654;0,022904374
2850,725;0,022588638
2848,796;0,022342488
2846,867;0,022049374
2844,939;0,020951213
2843,01;0,019239651
2841,081;0,017669769
2839,152;0,016450769
2837,224;0,015384107
2835,295;0,014451466
2833,366;0,013823856
2831,437;0,013438792
2829,508;0,01303806
2827,58;0,01267635
2825,651;0,012547433
2823,722;0,012478287
2821,793;0,012162884
2819,865;0,011661791
2817,936;0,011321602
2816,007;0,01121758
2814,078;0,011227312
2812,149;0,011458626
2810,221;0,011828014
2808,292;0,011928822
2806,363;0,011693904
2804,434;0,011350255
2802,506;0,011110775
2800,577;0,011227599
2798,648;0,011531161
2796,719;0,011621768
2794,791;0,011627092
2792,862;0,011684562
2790,933;0,011701994
2789,004;0,01168954
2787,075;0,011586575
2785,147;0,011538987
2783,218;0,011783533
2781,289;0,012020835
2779,36;0,011941518
2777,432;0,011829287
2775,503;0,011972273
2773,574;0,012099315
2771,645;0,011887223
2769,717;0,011606986
2767,788;0,01161572
2765,859;0,011708122
2763,93;0,011717342
2762,001;0,011839688
2760,073;0,012066757
2758,144;0,012241335
2756,215;0,012264693
2754,286;0,012086603
2752,358;0,011925867
2750,429;0,012033844
2748,5;0,012316225
2746,571;0,012423684
2744,642;0,012186017
2742,714;0,011923537
2740,785;0,011946793
2738,856;0,012103725
2736,927;0,01212099
2734,999;0,011980301
2733,07;0,011916097
2731,141;0,012051842
2729,212;0,012185989
2727,284;0,012109045
2725,355;0,011911595
2723,426;0,011841772
2721,497;0,011875585
2719,568;0,011749211
2717,64;0,011537515
2715,711;0,011492979
2713,782;0,011419617
2711,853;0,01117909
2709,925;0,011092329
2707,996;0,011196523
2706,067;0,011345885
2704,138;0,011634491
2702,209;0,011854045
2700,281;0,01171121
2698,352;0,011466964
2696,423;0,011425793
2694,494;0,01147397
2692,566;0,011458986
2690,637;0,01139101
2688,708;0,011228045
2686,779;0,011000126
2684,851;0,010917449
2682,922;0,011037199
2680,993;0,011200572
2679,064;0,011209762
2677,135;0,01104788
2675,207;0,010915958
2673,278;0,010858032
2671,349;0,010812627
2669,42;0,010759154
2667,492;0,01069273
2665,563;0,010783084
2663,634;0,010979718
2661,705;0,010933897
2659,777;0,010671277
2657,848;0,010492761
2655,919;0,010518187
2653,99;0,010651503
2652,061;0,010687923
2650,133;0,01073993
2648,204;0,011112441
2646,275;0,011537858
2644,346;0,011638465
2642,418;0,011518878
2640,489;0,011310954
2638,56;0,011126673
2636,631;0,011047464
2634,702;0,011001884
2632,774;0,010981157
2630,845;0,010981126
2628,916;0,011025742
2626,987;0,011321886
2625,059;0,0118914
2623,13;0,012318062
2621,201;0,012477868
2619,272;0,012566453
2617,344;0,01240981
2615,415;0,012137679
2613,486;0,012265184
2611,557;0,012737623
2609,628;0,013091902
2607,7;0,013053241
2605,771;0,012736065
2603,842;0,012503058
2601,913;0,012655441
2599,985;0,012966262
2598,056;0,012869274
2596,127;0,012629968
2594,198;0,012903603
2592,269;0,013251585
2590,341;0,012973774
2588,412;0,012520302
2586,483;0,012621207
2584,554;0,013216295
2582,626;0,01379929
2580,697;0,013690483
2578,768;0,012768668
2576,839;0,012262802
2574,911;0,012997921
2572,982;0,01398833
2571,053;0,014256893
2569,124;0,013796054
2567,195;0,01288229
2565,267;0,012155718
2563,338;0,011989432
2561,409;0,012207138
2559,48;0,012820114
2557,552;0,013442826
2555,623;0,013522995
