sample;id;species;organ;sex_age;elevation;year;biomass;PC1;PC2
LM_8_83_Vaccinium_B_FJ_378_2008;LM_8_83;Vaccinium;B;FJ;378;2008;18,53847481;0.0132850531967311;0.0359008825758631
LM_11_128_D.octopetala_L_FJ_109_2011;LM_11_128;D.octopetala;L;FJ;109;2011;19,07067165;0.0452954131400408;-0.0345231778533502
LM_6_81_E.nigrum_B_FJ_246_2006;LM_6_81;E.nigrum;B;FJ;246;2006;19,11321367;-0.10721118897388;-0.0235561058094449
LM_10_220_B.pubescens_C_FJ_366_2010;LM_10_220;B.pubescens;C;FJ;366;2010;20,42636422;0.138070748610934;0.066527294755024
LM_9_106_E.nigrum_B_MJ_378_2009;LM_9_106;E.nigrum;B;MJ;378;2009;20,48393055;-0.0537632659026727;-0.00136465731253333
LM_7_28_B.nana_IFR_IFR_FJ_360_2007;LM_7_28;B.nana;IFR;FJ;360;2007;20,56441837;-0.0632648214759632;-0.0202363291585354
LM_14_130_S.phylicifolia_Sb_FA_379_2014;LM_14_130;S.phylicifolia;Sb;FA;379;2014;21,00339825;-0.0246739336053118;-0.0404105830702142
LM_8_138_B.nana_C_C_MA_370_2008;LM_8_138;B.nana;C;MA;370;2008;21,51955857;0.0782707593816199;0.0344792987281271
LM_9_102_E.nigrum_B_FJ_291_2009;LM_9_102;E.nigrum;B;FJ;291;2009;21,58080115;-0.133861952380809;-0.0367520374772281
LM_8_137_E.nigrum_B_FJ_377_2008;LM_8_137;E.nigrum;B;FJ;377;2008;21,69808034;-0.100064032907414;-0.0240279635484969
LM_12_48_D.octopetala_L_MJ_510_2012;LM_12_48;D.octopetala;L;MJ;510;2012;21,70271637;0.00613040814392569;-0.0365006877087639
LM_13_75_B.nana_IFR_IFR_MJ_378_2013;LM_13_75;B.nana;IFR;MJ;378;2013;21,75252231;0.0453389994685847;-0.00681227525802032
LM_9_87_B.nana_C_C_FJ_327_2009;LM_9_87;B.nana;C;FJ;327;2009;21,77621676;0.159526590542081;0.104004169285181
LM_6_90_D.octopetala_L_MJ_246_2006;LM_6_90;D.octopetala;L;MJ;246;2006;21,78808642;0.0507537375394327;-0.0341520622353658
LM_9_15_Vaccinium_B_MJ_349_2009;LM_9_15;Vaccinium;B;MJ;349;2009;21,84460654;-0.0615296146017295;-0.00959023354162909
LM_11_210_B.nana_C_C_MA_384_2011;LM_11_210;B.nana;C;MA;384;2011;22,15298646;0.176054574295394;0.0585126633083069
LM_9_13_E.nigrum_B_MJ_285_2009;LM_9_13;E.nigrum;B;MJ;285;2009;22,22522279;-0.019028130729979;0.00305034953852704
LM_7_54_D.octopetala_L_MJ_671_2007;LM_7_54;D.octopetala;L;MJ;671;2007;22,31160387;0.0418741630575937;-0.0427344564679459
LM_14_180_Vaccinium_B_MJ_373_2014;LM_14_180;Vaccinium;B;MJ;373;2014;23,06514269;-0.0421582981386992;0.0340680909264869
LM_13_167_S.phylicifolia_Sb_MJ_345_2013;LM_13_167;S.phylicifolia;Sb;MJ;345;2013;23,17667756;0.0301396026110013;-0.0379588238870362
LM_13_178_Vaccinium_B_MJ_375_2013;LM_13_178;Vaccinium;B;MJ;375;2013;23,38374349;-0.0672252773193859;0.0228417873581944
LM_13_110_D.octopetala_L_FJ_373_2013;LM_13_110;D.octopetala;L;FJ;373;2013;23,58754622;0.115363239982478;-0.00997838299336872
LM_6_82_S.herbacea_Sb_MJ_246_2006;LM_6_82;S.herbacea;Sb;MJ;246;2006;23,64438493;0.0430200057829489;-0.0427700293640239
LM_6_84_E.nigrum_B_FJ_246_2006;LM_6_84;E.nigrum;B;FJ;246;2006;23,67064739;0.000624353851238815;0.0129690072072441
LM_7_28_D.octopetala_L_FJ_360_2007;LM_7_28;D.octopetala;L;FJ;360;2007;23,69684333;0.00960795911038523;-0.031805638360499
LM_8_137_D.octopetala_L_FJ_377_2008;LM_8_137;D.octopetala;L;FJ;377;2008;24,09155837;0.0260640911907916;-0.0396322064608632
LM_7_129_D.octopetala_L_FJ_350_2007;LM_7_129;D.octopetala;L;FJ;350;2007;24,16397297;0.0578198974816426;-0.0389489492954958
LM_8_35_B.nana_C_C_FA_379_2008;LM_8_35;B.nana;C;FA;379;2008;24,24629059;0.137486613279013;0.066343009256632
LM_10_295_B.pubescens_C_FA_370_2010;LM_10_295;B.pubescens;C;FA;370;2010;24,57733847;0.175678611842811;0.0879316823528088
LM_7_59_D.octopetala_L_MJ_759_2007;LM_7_59;D.octopetala;L;MJ;759;2007;24,6052291;0.0760629617417896;-0.0352177952966583
LM_10_11_D.octopetala_L_MJ_305_2010;LM_10_11;D.octopetala;L;MJ;305;2010;24,61783598;0.0730327478732373;-0.0270892514330412
LM_8_98_Vaccinium_B_FJ_372_2008;LM_8_98;Vaccinium;B;FJ;372;2008;24,89631473;-0.0969201293073561;0.0120122162737797
LM_7_28_Vaccinium_B_FJ_360_2007;LM_7_28;Vaccinium;B;FJ;360;2007;24,98343274;-0.0615295356383366;0.0132518288890016
LM_7_81_D.octopetala_L_MJ_505_2007;LM_7_81;D.octopetala;L;MJ;505;2007;25,06985861;0.0602449591963402;-0.0320838354120975
LM_10_94_Vaccinium_B_FJ_426_2010;LM_10_94;Vaccinium;B;FJ;426;2010;25,87995707;-0.0520772915778577;0.0182201492298248
LM_13_146_Vaccinium_B_FJ_284_2013;LM_13_146;Vaccinium;B;FJ;284;2013;26,07048854;-0.0740126566414714;0.0106282221399949
LM_11_221_D.octopetala_L_FJ_429_2011;LM_11_221;D.octopetala;L;FJ;429;2011;26,1451628;0.045994621476658;-0.0309595001551062
LM_6_6_E.nigrum_B_FJ_88_2006;LM_6_6;E.nigrum;B;FJ;88;2006;26,20717837;-0.058323267098873;-0.016257768428646
LM_8_54_E.nigrum_B_FJ_378_2008;LM_8_54;E.nigrum;B;FJ;378;2008;26,62189711;-0.0873023730837594;-0.012758721465804
LM_9_49_B.nana_C_C_FJ_401_2009;LM_9_49;B.nana;C;FJ;401;2009;27,10135817;0.085210363756038;0.0260946211670499
LM_8_114_E.nigrum_B_FJ_369_2008;LM_8_114;E.nigrum;B;FJ;369;2008;27,22283205;-0.101095153602619;-0.012483624478361
LM_6_36_B.nana_IFR_IFR_MJ_188_2006;LM_6_36;B.nana;IFR;MJ;188;2006;28,05355976;0.0891323652558709;0.0642029091547076
LM_9_139_Vaccinium_B_FJ_376_2009;LM_9_139;Vaccinium;B;FJ;376;2009;28,14064501;-0.0164001923329398;0.0445326078460625
LM_6_38_Vaccinium_B_FA_188_2006;LM_6_38;Vaccinium;B;FA;188;2006;28,51856331;-0.0460379310020809;0.0236140058245643
LM_8_124_B.nana_C_C_FJ_381_2008;LM_8_124;B.nana;C;FJ;381;2008;28,59052428;0.0911405110278254;0.0370951614133584
LM_10_287_D.octopetala_L_MJ_383_2010;LM_10_287;D.octopetala;L;MJ;383;2010;29,24432082;0.0232862602058466;-0.0274434180226436
LM_14_131_S.phylicifolia_Sb_FJ_379_2014;LM_14_131;S.phylicifolia;Sb;FJ;379;2014;29,30393861;0.00877905020640457;-0.0431678225307543
LM_10_93_B.nana_IFR_IFR_MJ_426_2010;LM_10_93;B.nana;IFR;MJ;426;2010;29,5385816;0.090989766333556;0.043574656738505
LM_11_42_Vaccinium_B_FJ_357_2011;LM_11_42;Vaccinium;B;FJ;357;2011;29,57700115;-0.0254801796704273;0.0329932543574849
LM_12_200_Vaccinium_B_FJ_527_2012;LM_12_200;Vaccinium;B;FJ;527;2012;30,01032411;-0.0738296825301786;-0.00286801724145794
LM_9_92_S.phylicifolia_Sb_FJ_302_2009;LM_9_92;S.phylicifolia;Sb;FJ;302;2009;30,1643413;0.04852852037932;-0.0428005560865988
